REDNI_BROJ,RESOURCE_PREPARE_TIME_MEAN,RESOURCE_PREPARE_TIME_STD,ARRIVAL_PATTERN,BROKER_TYPE,SET_RASPOREDA,USER_COUNT,MAX_AVAILABLE_RESOURCES,CRITICAL_UTILISATION,READY_COUNT,RESOURCE_ADD_NUMBER,INITIAL_WAVE
1,10,1,1,1,0,120,30,0.4,10,5,TRUE
2,20,2,2,2,0,100,30,0.5,20,10,TRUE
3,30,2,2,3,0,130,40,0.3,15,10,FALSE
4,10,3,3,1,0,100,20,0.5,15,5,TRUE
5,20,3,3,2,0,120,40,0.7,10,5,FALSE
6,30,1,2,3,0,110,35,0.8,10,5,TRUE
7,10,2,1,1,0,110,45,0.3,20,10,TRUE
8,20,2,2,2,0,100,35,0.2,10,5,FALSE
9,30,3,1,3,0,90,30,0.4,15,5,FALSE
10,10,3,2,1,0,90,35,0.5,20,5,TRUE
11,20,1,2,2,0,100,20,0.6,20,15,TRUE
12,30,1,3,3,0,100,20,0.4,10,15,FALSE
13,10,2,3,1,0,110,25,0.4,15,5,FALSE
14,20,2,3,2,0,120,35,0.3,20,10,TRUE
15,30,3,3,3,0,120,35,0.2,10,5,TRUE
16,10,3,2,1,0,110,25,0.3,15,1,FALSE
17,20,3,2,2,0,110,35,0.2,5,10,TRUE
18,30,3,1,3,0,100,40,0.6,20,1,TRUE
19,10,2,1,1,0,110,40,0.4,20,1,TRUE
20,20,1,3,2,0,90,40,0.5,15,5,TRUE
21,10,1,1,1,2,120,30,0.4,10,5,TRUE
22,20,2,2,2,2,100,30,0.5,20,10,TRUE
23,30,2,2,3,2,130,40,0.3,15,10,FALSE
24,10,3,3,1,2,100,20,0.5,15,5,TRUE
25,20,3,3,2,2,120,40,0.7,10,5,FALSE
26,30,1,2,3,2,110,35,0.8,10,5,TRUE
27,10,2,1,1,2,110,45,0.3,20,10,TRUE
28,20,2,2,2,2,100,35,0.2,10,5,FALSE
29,30,3,1,3,2,90,30,0.4,15,5,FALSE
30,10,3,2,1,2,90,35,0.5,20,5,TRUE
31,20,1,2,2,2,100,20,0.6,20,15,TRUE
32,30,1,3,3,2,100,20,0.4,10,15,FALSE
33,10,2,3,1,2,110,25,0.4,15,5,FALSE
34,20,2,3,2,2,120,35,0.3,20,10,TRUE
35,30,3,3,3,2,120,35,0.2,10,5,TRUE
36,10,3,2,1,2,110,25,0.3,15,1,FALSE
37,20,3,2,2,2,110,35,0.2,5,10,TRUE
38,30,3,1,3,2,100,40,0.6,20,1,TRUE
39,10,2,1,1,2,110,40,0.4,20,1,TRUE
40,20,1,3,2,2,90,40,0.5,15,5,TRUE
41,10,1,1,1,0,120,30,0.4,10,5,TRUE
42,20,2,2,2,0,100,30,0.5,20,10,TRUE
43,30,2,2,3,0,130,40,0.3,15,10,FALSE
44,10,3,3,1,0,100,20,0.5,15,5,TRUE
45,20,3,3,2,0,120,40,0.7,10,5,FALSE
46,30,1,2,3,0,110,35,0.8,10,5,TRUE
47,10,2,1,1,0,110,45,0.3,20,10,TRUE
48,20,2,2,2,0,100,35,0.2,10,5,FALSE
49,30,3,1,3,0,90,30,0.4,15,5,FALSE
50,10,3,2,1,0,90,35,0.5,20,5,TRUE
51,20,1,2,2,0,100,20,0.6,20,15,TRUE
52,30,1,3,3,0,100,20,0.4,10,15,FALSE
53,10,2,3,1,0,110,25,0.4,15,5,FALSE
54,20,2,3,2,0,120,35,0.3,20,10,TRUE
55,30,3,3,3,0,120,35,0.2,10,5,TRUE
56,10,3,2,1,0,110,25,0.3,15,1,FALSE
57,20,3,2,2,0,110,35,0.2,5,10,TRUE
58,30,3,1,3,0,100,40,0.6,20,1,TRUE
59,10,2,1,1,0,110,40,0.4,20,1,TRUE
60,20,1,3,2,0,90,40,0.5,15,5,TRUE
