REDNI_BROJ,RESOURCE_PREPARE_TIME_MEAN,RESOURCE_PREPARE_TIME_STD,ARRIVAL_PATTERN,BROKER_TYPE,SET_RASPOREDA,USER_COUNT,MAX_AVAILABLE_RESOURCES,CRITICAL_UTILISATION,READY_COUNT,RESOURCE_ADD_NUMBER,INITIAL_WAVE
2,10,1,1,2,0,100,30,0.5,20,5,TRUE
3,10,1,1,3,0,100,30,0.5,20,5,TRUE
8,10,1,1,2,0,100,40,0.5,20,5,TRUE
9,10,1,1,3,0,100,40,0.5,20,5,TRUE
11,10,1,1,2,0,100,20,0.5,20,5,TRUE
12,10,1,1,3,0,100,20,0.5,20,5,TRUE
14,10,1,1,2,0,100,30,0.5,30,5,TRUE
15,10,1,1,3,0,100,30,0.5,30,5,TRUE
17,10,1,1,2,0,100,30,0.5,10,5,TRUE
18,10,1,1,3,0,100,30,0.5,10,5,TRUE
20,10,1,1,2,0,100,30,0.5,20,10,TRUE
22,10,1,1,2,0,100,30,0.5,20,1,TRUE
8,10,1,1,2,0,100,40,0.5,20,5,TRUE
9,10,1,1,3,0,100,40,0.5,20,5,TRUE
11,10,1,1,2,0,100,20,0.5,20,5,TRUE
12,10,1,1,3,0,100,20,0.5,20,5,TRUE
8,10,1,1,2,0,100,50,0.5,20,5,TRUE
9,10,1,1,3,0,100,50,0.5,20,5,TRUE
11,10,1,1,2,0,100,10,0.5,20,5,TRUE
12,10,1,1,3,0,100,10,0.5,20,5,TRUE
14,10,1,1,2,0,100,30,0.5,40,5,TRUE
15,10,1,1,3,0,100,30,0.5,40,5,TRUE
17,10,1,1,2,0,100,30,0.5,5,5,TRUE
18,10,1,1,3,0,100,30,0.5,5,5,TRUE
20,10,1,1,2,0,100,30,0.5,20,10,TRUE
