SIMULATION_UUID,RESOURCE_PREPARE_TIME_MEAN,RESOURCE_PREPARE_TIME_STD,ARRIVAL_PATTERN,BROKER_TYPE,SET_RASPOREDA,USER_COUNT,MAX_AVAILABLE_RESOURCES,CRITICAL_UTILISATION_PERCENT,READY_COUNT,RESOURCE_ADD_NUMBER,INITIAL_WAVE_KNOWN,AVG_UTILIZATION,AVG_WAIT_TIME,TOTAL_SLA_BROKEN,FINAL_RESOURCE_COUNT
2baf4ab8-1bc7-4162-ad21-abbb9cf8a494,10.0,0.2,3,3,2,200,50,0.4,20,5,True,86.5,52.3,304,20
bbd0decf-e251-438e-b08d-6d9619195a0a,20.0,0.2,2,1,3,100,80,0.6,30,10,False,69.2,0.2,4,30
51303281-10dc-4ee8-b781-32bae7e27239,30.0,0.2,3,2,5,150,100,0.8,40,20,True,37.7,0.0,0,40
341f5ffb-d7f2-431b-8707-b068e748e029,4,0.2,3,1,0,50,150,0.6,10,1,True,60.2,0.0,0,19
08cd8ae3-5371-4b69-88ad-408c6211f353,10.0,0.2,3,3,2,200,50,0.4,20,5,True,86.5,52.3,304,20
adbf9dd5-837e-414a-8613-6f86a7879f77,20.0,0.2,2,1,3,100,80,0.6,30,10,False,69.2,0.2,4,30
273db07b-7589-45b5-ae2f-964c64c2cbf4,30.0,0.2,3,2,5,150,100,0.8,40,20,True,37.7,0.0,0,40
b690bbe9-c796-4fa7-bc0b-192fa57d91ff,10.0,0.2,3,3,2,120,50,0.4,20,5,True,85.3,39.2,184,20
dbbee77b-74e2-4487-966b-6506d268b389,20.0,0.2,2,1,3,100,80,0.6,30,10,False,69.2,0.2,4,30
f800b942-6854-4678-9933-c320ffd39469,10.0,0.2,3,3,2,120,50,0.4,20,5,True,85.3,39.2,184,20
8601c625-b674-4629-accd-c3a9efb63a52,20.0,0.2,2,1,3,100,80,0.6,30,10,False,69.2,0.2,4,30
886a2b92-0c9a-4dee-a122-b2770baf7a0d,10.0,0.2,3,3,2,120,50,0.4,20,5,True,85.3,39.2,184,20
da5ad441-a3e9-444b-97ba-04cfc0bbc683,20.0,0.2,2,1,3,100,80,0.6,30,10,False,69.2,0.2,4,30
5bfabcde-3292-40fb-ae46-69311b893e9c,10.0,0.2,3,3,2,120,50,0.4,20,5,True,85.3,39.2,184,20
1d87eab4-7520-4439-844b-0db6d64f18c9,20.0,0.2,2,1,3,100,80,0.6,30,10,False,69.2,0.2,4,30
0e7a72ec-1185-4edc-8aa0-2951a027d8a0,10.0,0.2,3,3,2,120,50,0.4,20,5,True,85.3,39.2,184,20
69af1c56-b06a-4408-9cc8-bc4acbcd856d,10.0,0.2,3,3,2,120,50,0.4,20,5,True,85.3,39.2,184,20
eb37459c-32ab-43b3-92c9-bce260cd4f7e,20.0,0.2,2,1,3,100,80,0.6,30,10,False,69.2,0.2,4,30
bd58e610-a39b-4abd-a467-f8a04c45b115,10.0,0.2,3,3,2,120,50,0.4,20,5,True,85.3,39.2,184,20
6e2d25ae-5a2a-499f-a860-7dc81bfeb3ff,20.0,0.2,2,1,3,100,80,0.6,30,10,False,69.2,0.2,4,30
234cd9fa-6835-42c1-b819-52dbc7612e10,30.0,0.2,3,2,5,150,100,0.8,40,20,True,37.7,0.0,0,40
